Date,Open,High,Low,Close,Adjusted_close,Volume
2001-12-10,22.288,22.988,22.232,22.54,0.3421,170010400
2001-12-11,22.6688,22.848,21.6496,21.7784,0.3305,205475200
2001-12-12,21.868,21.9184,21.252,21.4872,0.3261,192460800
2001-12-13,21.4872,21.5488,20.5016,21,0.3187,197842400
2001-12-14,20.7312,20.832,20.0872,20.3896,0.3095,189884800
2001-12-17,20.4008,21,20.188,20.6192,0.313,173712000
2001-12-18,20.888,21.3304,20.2216,21.0112,0.3189,235239200
2001-12-19,20.58,21.6776,20.468,21.6216,0.3282,289956800
2001-12-20,21.3976,21.4704,20.6192,20.6696,0.3137,220864000
2001-12-21,21.0112,21.5376,20.7984,21,0.3187,256334400
2001-12-24,20.8992,21.448,20.8992,21.3584,0.3242,50629600
2001-12-26,21.3472,22.2992,21.14,21.4872,0.3261,146400800
2001-12-27,21.5824,22.2488,21.5824,22.0696,0.335,191508800
2001-12-28,21.9688,22.9992,21.9576,22.428,0.3404,299124000
2001-12-31,22.512,22.6576,21.8288,21.9016,0.3324,137782400
2002-01-02,22.0528,23.3016,21.9576,23.3016,0.3537,529496800
2002-01-03,22.9992,23.7496,22.7696,23.5816,0.3579,612007200
2002-01-04,23.3408,23.9512,22.988,23.688,0.3595,409976000
2002-01-07,23.7216,24.0016,22.7528,22.8984,0.3475,444584000
2002-01-08,22.7528,23.0496,22.4616,22.6128,0.3432,450038400
2002-01-09,22.7976,22.932,21.28,21.6496,0.3286,327835200
2002-01-10,21.2184,21.4592,20.2496,21.2296,0.3222,452737600
2002-01-11,21.392,21.84,20.6024,21.0504,0.3195,348801600
2002-01-14,21.0112,21.3976,20.8992,21.1512,0.321,415996000
2002-01-15,21.3192,21.7616,21.2072,21.7,0.3294,290320800
2002-01-16,21.4088,21.4088,20.5016,20.7816,0.3154,566893600
2002-01-17,21.9576,22.7416,21.868,22.4784,0.3412,660576000
2002-01-18,22.0024,22.6016,21.9576,22.1704,0.3365,338811200
2002-01-22,22.2712,22.372,21.8176,21.8176,0.3311,327314400
2002-01-23,21.8008,23.0384,21.588,23.0216,0.3494,443279200
2002-01-24,22.9096,23.5088,22.8984,23.212,0.3523,344002400
2002-01-25,22.8872,23.4192,22.6576,23.2512,0.3529,185914400
2002-01-28,23.4024,23.548,22.7192,23.268,0.3532,186446400
2002-01-29,23.2176,23.5424,22.848,23.072,0.3502,240324000
2002-01-30,23.072,24.1416,22.9376,24.0912,0.3657,471576000
2002-01-31,24.1584,24.7296,24.108,24.7184,0.3752,468445600
2002-02-01,24.3376,24.9592,24.3376,24.4104,0.3705,398305600
2002-02-04,24.3208,25.5192,24.1976,25.3512,0.3848,522373600
2002-02-05,25.088,25.9784,25.0824,25.452,0.3863,456887200
2002-02-06,25.5976,25.9784,24.1528,24.668,0.3744,597576000
2002-02-07,24.6512,25.2896,24.08,24.2984,0.3688,347832800
2002-02-08,24.3992,24.64,23.3688,24.0296,0.3647,355331200
2002-02-11,23.9288,24.9984,23.7384,24.9816,0.3792,398602400
2002-02-12,24.6624,25.0376,24.4496,24.7072,0.375,224280000
2002-02-13,24.7296,25.2392,24.6512,25.0096,0.3796,312872000
2002-02-14,25.0488,25.228,24.3824,24.6008,0.3734,260170400
2002-02-15,24.528,24.9816,23.8504,23.9008,0.3628,260187200
2002-02-19,23.7608,23.8728,22.4784,22.6184,0.3433,390258400
2002-02-20,22.7696,23.2008,22.3496,23.128,0.351,285443200
2002-02-21,22.9208,22.9992,21.448,21.4984,0.3263,446751200
2002-02-22,21.6608,22.9488,21.4984,22.7416,0.3452,406476000
2002-02-25,22.848,24.7184,22.3608,23.8112,0.3614,426848800
2002-02-26,23.912,24.3712,23.2512,23.6712,0.3593,260131200
2002-02-27,23.94,24.248,20.9384,21.9576,0.3333,1030159200
2002-02-28,22.148,22.5904,21.3472,21.7,0.3294,456937600
2002-03-01,21.9296,23.4976,21.8176,23.4472,0.3559,348992000
2002-03-04,23.2624,24.5784,22.7584,24.2928,0.3687,348258400
2002-03-05,24.1528,24.4328,23.4024,23.5312,0.3572,274702400
2002-03-06,23.4808,24.3376,22.932,24.0688,0.3653,226206400
2002-03-07,24.0576,24.528,23.6096,24.3824,0.3701,258249600
2002-03-08,24.7408,25.088,24.2984,24.6624,0.3743,269774400
2002-03-11,24.6008,25.1384,24.1024,25.06,0.3804,262785600
2002-03-12,24.5112,24.7408,24.1024,24.7184,0.3752,254055200
2002-03-13,24.3712,24.8472,24.1528,24.4888,0.3717,200765600
2002-03-14,24.2984,24.6008,23.8728,24.4328,0.3708,217296800
2002-03-15,24.4608,24.9592,24.248,24.948,0.3787,240900800
2002-03-18,24.948,25.0488,24.3208,24.7408,0.3755,304556000
2002-03-19,24.6904,25.3008,24.2984,24.8472,0.3771,242345600
2002-03-20,24.6624,25.1384,24.5,24.92,0.3782,294319200
2002-03-21,23.8616,24.2984,23.2624,24.2704,0.3684,616352800
2002-03-22,24.22,24.5616,23.8728,24.0912,0.3657,202193600
2002-03-25,24.0688,24.0912,23.24,23.352,0.3544,262830400
2002-03-26,23.2008,23.6376,22.9992,23.4584,0.356,257840800
2002-03-27,23.352,23.7216,23.2624,23.4696,0.3562,127702400
2002-03-28,23.6992,23.8784,23.4584,23.6712,0.3593,108455200
2002-04-01,23.38,24.7016,23.2792,24.4608,0.3713,199046400
2002-04-02,24.0016,24.2984,23.8728,24.0688,0.3653,203795200
2002-04-03,24.052,24.4888,23.5984,23.7496,0.3605,214530400
2002-04-04,23.6712,25.0488,23.6712,24.8976,0.3779,338497600
2002-04-05,24.948,25.1888,24.1024,24.7408,0.3755,278348000
2002-04-08,24.1584,24.6792,23.7776,24.5616,0.3728,261514400
2002-04-09,24.5896,24.9984,24.0128,24.1024,0.3658,191531200
2002-04-10,24.2088,24.948,24.0128,24.6624,0.3743,224980000
2002-04-11,25.032,25.2,24.752,24.8584,0.3773,407254400
2002-04-12,25.0096,25.172,24.5672,25.06,0.3804,320241600
2002-04-15,25.06,25.1496,24.8024,24.9984,0.3794,299370400
2002-04-16,25.1496,25.9896,25.1216,25.7376,0.3906,614577600
2002-04-17,25.928,26.1688,25.3792,26.1128,0.3963,396250400
2002-04-18,25.5024,25.5192,24.8808,25.4128,0.3857,401710400
2002-04-19,25.4912,25.4912,24.9312,24.9816,0.3792,375407200
2002-04-22,24.8416,24.9312,24.2312,24.528,0.3723,269427200
2002-04-23,24.5392,24.78,24.0912,24.248,0.368,233469600
2002-04-24,24.2984,24.5,23.6824,23.772,0.3608,140448000
2002-04-25,23.5592,24.3376,23.548,24.1192,0.3661,194202400
